"","gene","distance","Z","FC","p.value","p.adj"
"2961","Rab38",4.37385555322767e-18,-1.21236537364908,2.18035126679637e-19,0.999999999627434,0.999999999998216
"1933","Pcdhb18",4.36623526264206e-18,-1.21262039393401,2.1727605100928e-19,0.999999999628083,0.999999999998216
"850","Birc7",4.36296870034644e-18,-1.21272984695912,2.16951066111251e-19,0.999999999628361,0.999999999998216
"695","Rnf183",4.33860757208593e-18,-1.21354867504467,2.14535088399543e-19,0.999999999630436,0.999999999998216
"872","Gm42835",4.33533135600063e-18,-1.21365914113654,2.14211206638427e-19,0.999999999630715,0.999999999998216
"1452","Gm13479",4.33111306440364e-18,-1.21380149301599,2.137945530296e-19,0.999999999631075,0.999999999998216
"2150","Slc39a2",4.31913507379891e-18,-1.21420645272852,2.12613661173362e-19,0.999999999632095,0.999999999998216
"833","Gm14168",4.30744598497835e-18,-1.21460271404868,2.11464404696526e-19,0.999999999633091,0.999999999998216
"1494","Kntc1",4.30711851855682e-18,-1.21461383045555,2.11432253458918e-19,0.999999999633119,0.999999999998216
"595","A330015K06Rik",4.30422125741543e-18,-1.21471221925025,2.11147901672587e-19,0.999999999633365,0.999999999998216
"1272","Prkcg",4.28572518117096e-18,-1.21534187529575,2.09337113468745e-19,0.999999999634941,0.999999999998216
"1117","Gm19325",4.28473345074131e-18,-1.21537571209883,2.09240242131286e-19,0.999999999635025,0.999999999998216
"1652","Dnmt3l",4.28248410202444e-18,-1.2154524861482,2.09020610858393e-19,0.999999999635217,0.999999999998216
"1388","Gm5580",4.27622178500523e-18,-1.2156664391661,2.08409752183772e-19,0.99999999963575,0.999999999998216
"2793","4930556M19Rik",4.2642261998764e-18,-1.21607713420959,2.07242137137153e-19,0.999999999636772,0.999999999998216
"1492","Gm15326",4.25911296532868e-18,-1.2162525433367,2.06745426936586e-19,0.999999999637208,0.999999999998216
"75","Alk",4.253754546703e-18,-1.21643658643327,2.06225538559726e-19,0.999999999637664,0.999999999998216
"887","Gm38025",4.2479730693782e-18,-1.21663541667759,2.05665337911364e-19,0.999999999638157,0.999999999998216
"637","Clca3a1",4.24243158885573e-18,-1.21682624380437,2.05129107063134e-19,0.999999999638629,0.999999999998216
"546","Gm26558",4.21798197163294e-18,-1.21767113881992,2.02771555225199e-19,0.999999999640711,0.999999999998216
"2390","2610528A11Rik",4.21598559854299e-18,-1.21774033973328,2.02579656880854e-19,0.999999999640881,0.999999999998216
"449","A230065N10Rik",4.21459527699503e-18,-1.21778855197802,2.02446067989232e-19,0.999999999641,0.999999999998216
"1949","Plag1",4.20801400027596e-18,-1.21801698422943,2.01814304680004e-19,0.99999999964156,0.999999999998216
"623","Clcnka",4.20580672290651e-18,-1.21809367642103,2.01602640309882e-19,0.999999999641748,0.999999999998216
"2131","AI429214",4.19714319519434e-18,-1.21839507608111,2.00772934487191e-19,0.999999999642486,0.999999999998216
"1348","Nlrp1a",4.18923703230306e-18,-1.21867066321335,2.000172545353e-19,0.99999999964316,0.999999999998216
"1319","Tekt3",4.18462175675138e-18,-1.21883177620133,1.99576779943081e-19,0.999999999643553,0.999999999998216
"1098","Gpr45",4.18391791513825e-18,-1.2188563617498,1.99509649082738e-19,0.999999999643613,0.999999999998216
"2396","Gm24362",4.17623086985419e-18,-1.21912513997792,1.98777210792902e-19,0.999999999644268,0.999999999998216
"1128","Tenm2",4.17347323909135e-18,-1.21922167968362,1.98514786041437e-19,0.999999999644503,0.999999999998216
"2130","Gm38079",4.15753592355148e-18,-1.21978085161221,1.97001537105579e-19,0.99999999964586,0.999999999998216
"2578","5830468F06Rik",4.15499292504891e-18,-1.21987026997616,1.96760614881454e-19,0.999999999646077,0.999999999998216
"930","Atg9b",4.14822985647001e-18,-1.22010833968713,1.96120602942322e-19,0.999999999646653,0.999999999998216
"674","Dcaf12l2",4.12962542036241e-18,-1.22076522223728,1.9436538142461e-19,0.999999999648237,0.999999999998216
"334","A830011K09Rik",4.12793903534965e-18,-1.22082490901833,1.94206670690652e-19,0.999999999648381,0.999999999998216
"309","Lcn4",4.11747275966274e-18,-1.22119588387427,1.93223107846534e-19,0.999999999649273,0.999999999998216
"987","Clec4a4",4.11080124827192e-18,-1.22143283967398,1.92597459110814e-19,0.999999999649841,0.999999999998216
"1088","Ly6k",4.10863033962207e-18,-1.22151002682179,1.92394091902029e-19,0.999999999650026,0.999999999998216
"1187","Gm4577",4.10085811275381e-18,-1.22178670018681,1.91666883045993e-19,0.999999999650688,0.999999999998216
"106","Slc16a14",4.09833876077423e-18,-1.22187649427896,1.91431455239905e-19,0.999999999650902,0.999999999998216
"44","Zfp82",4.08850472413203e-18,-1.22222751809251,1.90513871088746e-19,0.99999999965174,0.999999999998216
"1205","Sptbn2",4.08500634204505e-18,-1.22235259286834,1.90187979246446e-19,0.999999999652038,0.999999999998216
"1412","Abca14",4.07922987676515e-18,-1.22255934542458,1.89650483139584e-19,0.99999999965253,0.999999999998216
"897","Gm16793",4.07698851347459e-18,-1.2226396465535,1.89442130649876e-19,0.999999999652721,0.999999999998216
"2197","Hist1h1a",4.07649792906472e-18,-1.22265722848494,1.89396542214205e-19,0.999999999652763,0.999999999998216
"1884","C1ql1",4.06603885972646e-18,-1.22303256564192,1.8842591968977e-19,0.999999999653654,0.999999999998216
