"","gene","distance","Z","FC","p.value","p.adj"
"383","Snapc3",1.95071083749351e-13,-0.426260604208138,8.23287688744232e-07,0.999276037931127,0.999999999237769
"2599","Gramd1a",1.9442221446975e-13,-0.42682562008436,8.17819757685894e-07,0.999278446061583,0.999999999237769
"2461","Mudeng",1.93667091175871e-13,-0.427485389864959,8.11479376474092e-07,0.999281248529606,0.999999999237769
"1050","Rtel1",1.93418086977236e-13,-0.42770348003131,8.09394026073436e-07,0.999282172651946,0.999999999237769
"1626","Cnnm2",1.92790521140578e-13,-0.428254303564856,8.04150214587183e-07,0.999284501719545,0.999999999237769
"1042","Trim47",1.92089957799315e-13,-0.428871188133028,7.98316581369482e-07,0.999287101700754,0.999999999237769
"2919","Mettl1",1.91851101359474e-13,-0.42908199683088,7.9633246408226e-07,0.999287988162006,0.999999999237769
"1154","Rasa3",1.91790899996236e-13,-0.429135167883391,7.95832776794104e-07,0.999288211585649,0.999999999237769
"408","Dcn",1.91703716856315e-13,-0.429212197539724,7.95109411603808e-07,0.999288535146008,0.999999999237769
"829","4931414P19Rik",1.91223513940834e-13,-0.429637065087891,7.91131026032478e-07,0.999290317309717,0.999999999237769
"2622","Trim30d",1.90384917756007e-13,-0.430381432550011,7.84207351063581e-07,0.999293429568394,0.999999999237769
"2078","Casc4",1.89996853072081e-13,-0.430726933788352,7.81013683960567e-07,0.999294869782057,0.999999999237769
"555","Tbc1d1",1.89322221945918e-13,-0.431329149036805,7.75477163805678e-07,0.999297373521788,0.999999999237769
"1253","Btbd10",1.88569577469766e-13,-0.432003383525355,7.69323650080571e-07,0.999300166790303,0.999999999237769
"2675","Ppp2r5b",1.88223278838166e-13,-0.432314453261286,7.66500595574656e-07,0.999301451998788,0.999999999237769
"1634","Gngt2",1.88207696556866e-13,-0.432328462977003,7.66373689555605e-07,0.999301509828875,0.999999999237769
"1242","BC026585",1.87754713036124e-13,-0.432736207591635,7.62689069981546e-07,0.999303190974025,0.999999999237769
"1127","Trmt5",1.86437576167865e-13,-0.433927067199438,7.5202577145165e-07,0.999308079227495,0.999999999237769
"1611","Srp54b",1.86375321595519e-13,-0.433983548364923,7.51523627760798e-07,0.99930831027116,0.999999999237769
"1807","Zfp160",1.85974957981003e-13,-0.434347206178561,7.48298312932168e-07,0.999309796129526,0.999999999237769
"1024","Myo9a",1.85848967430166e-13,-0.434461797673292,7.47284772370479e-07,0.99931026371476,0.999999999237769
"651","Pycard",1.85592150804235e-13,-0.43469560449758,7.45220918512277e-07,0.999311216831175,0.999999999237769
"1998","Arl6",1.85511926730432e-13,-0.434768703001089,7.44576799281508e-07,0.999311514564553,0.999999999237769
"2740","Rpa2",1.84989246409692e-13,-0.435245685553481,7.40387015956627e-07,0.999313454373522,0.999999999237769
"2066","Hsdl1",1.84470310007398e-13,-0.435720503668257,7.36238938391817e-07,0.999315380287794,0.999999999237769
"2766","Med20",1.83878777181598e-13,-0.436263276679465,7.31524778860134e-07,0.999317575627164,0.999999999237769
"2545","Pold3",1.83287197386363e-13,-0.436807733181242,7.26825387777679e-07,0.999319771140854,0.999999999237769
"1075","Spred1",1.8327329461621e-13,-0.436820548315078,7.26715129088455e-07,0.99931982273782,0.999999999237769
"496","Pus7l",1.83235015493434e-13,-0.436855837511789,7.2641159209337e-07,0.999319964802067,0.999999999237769
"211","Nek2",1.82771088003255e-13,-0.437284078915557,7.22737887232928e-07,0.999321686563302,0.999999999237769
"279","Ccdc30",1.82615639363133e-13,-0.437427798249477,7.21509018420606e-07,0.999322263475532,0.999999999237769
"2730","Atpbd4",1.82293717873003e-13,-0.437725794532697,7.18967455903679e-07,0.999323458213837,0.999999999237769
"2655","Reep4",1.81867266231146e-13,-0.438121313212206,7.15607535165078e-07,0.999325040892,0.999999999237769
"230","Limk1",1.81766339058299e-13,-0.438215046853016,7.14813503270511e-07,0.999325415460221,0.999999999237769
"1523","Abhd1",1.80178122226198e-13,-0.439696528508654,7.02376448206333e-07,0.999331309765373,0.999999999237769
"554","Tmem194",1.80168322753388e-13,-0.439705707375968,7.0230004901149e-07,0.999331346133886,0.999999999237769
"1929","Mpp7",1.77890646745182e-13,-0.441851944442191,6.84655428097234e-07,0.999339799209851,0.999999999237769
"1264","Pde7a",1.76642979168853e-13,-0.443038563652779,6.75085203083708e-07,0.999344429644047,0.999999999237769
"1967","Sult1c2",1.76242506910264e-13,-0.443421107752546,6.72027663690199e-07,0.999345915905677,0.999999999237769
"1537","Mettl21d",1.7560061393109e-13,-0.444035968776464,6.6714139305709e-07,0.999348298145364,0.999999999237769
"1526","Susd1",1.75431024502308e-13,-0.44419876835479,6.65853407876575e-07,0.999348927537928,0.999999999237769
"2131","Gmeb1",1.75273141988541e-13,-0.444350462460658,6.64655452101311e-07,0.999349513482942,0.999999999237769
"2146","Hps1",1.74367701767014e-13,-0.445222895758893,6.57806127162975e-07,0.999352873818245,0.999999999237769
"309","Mfap1b",1.74278030569e-13,-0.44530952919377,6.57129727857352e-07,0.999353206612488,0.999999999237769
"557","Tdp1",1.74193329021464e-13,-0.445391399739618,6.56491134697259e-07,0.999353520963004,0.999999999237769
"25","Vsig2",1.74192721908173e-13,-0.445391986695969,6.56486558588624e-07,0.999353523216167,0.999999999237769
"2719","Als2",1.7389121275338e-13,-0.445683722721782,6.54215907995342e-07,0.999354642198774,0.999999999237769
"1859","Zfp579",1.73624523890732e-13,-0.445942162814264,6.52210765771067e-07,0.999355631953793,0.999999999237769
"2685","Fbxo42",1.72861387207249e-13,-0.446683757832654,6.46490005647596e-07,0.999358464161919,0.999999999237769
"414","Itgae",1.72835136509429e-13,-0.44670932212525,6.46293668854702e-07,0.99935856158541,0.999999999237769
"1812","Hist2h3c1",1.72795512660046e-13,-0.446747916785373,6.45997366748374e-07,0.99935870864031,0.999999999237769
"2928","Dock7",1.72334734242368e-13,-0.447197337506593,6.42556712925965e-07,0.999360418714548,0.999999999237769
"244","Colec10",1.71955217909909e-13,-0.447568346407939,6.3972974652811e-07,0.999361827203051,0.999999999237769
"2743","St7",1.71663694240989e-13,-0.447853857062749,6.37562458124574e-07,0.99936290912681,0.999999999237769
"1472","Gtdc1",1.71384997473765e-13,-0.448127230899847,6.35493967646372e-07,0.999363943446442,0.999999999237769
"2319","Fam65a",1.7085891504509e-13,-0.448644403809573,6.31598538080938e-07,0.999365895881666,0.999999999237769
"2808","Rnaseh2b",1.70664938015515e-13,-0.448835472677525,6.30165237840677e-07,0.999366615783273,0.999999999237769
"637","Ecm1",1.70443802212936e-13,-0.449053541768849,6.28533246925019e-07,0.999367436478486,0.999999999237769
"1868","Klk1b4",1.69994227377109e-13,-0.449497701263603,6.25221890799996e-07,0.999369104973194,0.999999999237769
"1840","Scfd2",1.69638999754617e-13,-0.449849429879312,6.2261163704948e-07,0.999370423319689,0.999999999237769
"1904","Zfp780b",1.68759959045285e-13,-0.45072279074878,6.16175817866997e-07,0.999373685679279,0.999999999237769
"2035","Nup188",1.67915379807872e-13,-0.45156594135939,6.1002380076229e-07,0.999376820142967,0.999999999237769
"329","Gm10653",1.67008883916726e-13,-0.452475341206353,6.03455118137577e-07,0.999380184396239,0.999999999237769
"1234","Cdc25a",1.66016250874518e-13,-0.453476480021641,5.96303051240692e-07,0.999383868327963,0.999999999237769
"774","Rad9",1.65693632341838e-13,-0.45380307220093,5.93987717766828e-07,0.999385065653258,0.999999999237769
"607","Ube2cbp",1.65355425910052e-13,-0.454146085256274,5.91565350179169e-07,0.999386320829496,0.999999999237769
